Comment,Designator,Footprint,LCSC,Quantity
0.3,"R13,R14,R15,R16,R8",R_0805_2012Metric,C1017,5
22u,"C10,C11,C2,C3,C4,C8,C9",C_1206_3216Metric,C12891,7
INA219AxD,U5,SOIC-8_3.9x4.9mm_P1.27mm,C138706,1
1.5u,L2,L_0805_2012Metric,C139220,1
0.1u,C5,C_0603_1608Metric,C14663,1
RT6150AGQW,U4,SON50P300X300X80-11N,C147971,1
10u,"C12,C13,C6,C7",C_0805_2012Metric,C15850,4
TP4056-42-ESOP8,U2,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,C16581,1
0.01uF,"C14,C17",C_0805_2012Metric,C1710,2
10k,"R2,R23,R3,R4",R_0805_2012Metric,C17414,4
150k,R10,R_0805_2012Metric,C17470,1
15k,R11,R_0805_2012Metric,C17475,1
1k,"R1,R6,R7",R_0805_2012Metric,C17513,3
2k,R22,R_0805_2012Metric,C17604,1
4.7k,R12,R_0805_2012Metric,C17673,1
470k,R26,R_0805_2012Metric,C17709,1
470,"R17,R18",R_0805_2012Metric,C17710,2
51,"R19,R20",R_0805_2012Metric,C17738,2
SPDT,SW1,NEWSWITCH,C1788498,1
6.8u,L1,L_1008_2520Metric,C2041474,1
MMBT5551,"Q2,Q3",SOT23-3,C2145,2
D2,LED2,LED_0805_2012Metric,C2286,1
220k,R29,R_0603_1608Metric,C22961,1
D1,LED1,LED_0805_2012Metric,C2297,1
510k,R9,R_0603_1608Metric,C23192,1
56k,R28,R_0603_1608Metric,C23206,1
82k,"R24,R25",R_0603_1608Metric,C23254,2
9.1k,R5,R_0603_1608Metric,C23260,1
0.1,R27,R_1206_3216Metric,C25334,1
MP3423GG-Z,U3,QFN14_MP3423_MNP-M,C2682483,1
1u,C1,C_0805_2012Metric,C28323,1
TIP42C,"Q1,Q4",TO-220-3_Vertical,C358527,2
UJC-HP-3-SMT-TR,J2,CUI_UJC-HP-3-SMT-TR,C399925,1
5.6k,R21,R_0805_2012Metric,C4382,1
2.2uF,"C15,C16,C18,C19",C_1206_3216Metric,C50254,4
DRV8833PWP,"U6,U7",HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm_ThermalVias,C50506,2
MP2338GTL-Z,IC1,MP2338GTLZ,C7210174,1
2N7002,Q5,SOT-23,C8545,1
2.2u,L3,L_1210_3225Metric,C92980,1
CH224K,U1,SSOP-10-1EP_3.9x4.9mm_P1mm_EP2.1x3.3mm,C970725,1
