Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_0805_2012Metric,115.5,-61.5,90.0,top
C10,22u,C_1206_3216Metric,167.0,-77.0,90.0,top
C11,22u,C_1206_3216Metric,172.0,-101.5,180.0,top
C12,10u,C_0805_2012Metric,169.0,-71.0,90.0,top
C13,10u,C_0805_2012Metric,122.0,-92.5,90.0,top
C14,0.01uF,C_0805_2012Metric,151.0,-90.0,180.0,top
C15,2.2uF,C_1206_3216Metric,151.0,-85.5,180.0,top
C16,2.2uF,C_1206_3216Metric,156.0,-77.0,90.0,top
C17,0.01uF,C_0805_2012Metric,156.5,-89.0,0.0,top
C18,2.2uF,C_1206_3216Metric,156.5,-93.0,0.0,top
C19,2.2uF,C_1206_3216Metric,157.5,-84.5,0.0,top
C2,22u,C_1206_3216Metric,126.5,-74.0,180.0,top
C3,22u,C_1206_3216Metric,181.0,-77.5,90.0,top
C4,22u,C_1206_3216Metric,124.5,-77.5,0.0,top
C5,0.1u,C_0603_1608Metric,137.0,-74.0,-90.0,top
C6,10u,C_0805_2012Metric,152.5,-61.5,0.0,top
C7,10u,C_0805_2012Metric,142.0,-93.05,90.0,top
C8,22u,C_1206_3216Metric,172.5,-77.5,-90.0,top
C9,22u,C_1206_3216Metric,124.0,-69.0,90.0,top
IC1,MP2338GTL-Z,MP2338GTLZ,132.3,-73.25,90.0,top
J2,UJC-HP-3-SMT-TR,CUI_UJC-HP-3-SMT-TR,132.5,-65.3,180.0,top
L1,6.8u,L_1008_2520Metric,141.5,-71.575,90.0,top
L2,1.5u,L_0805_2012Metric,152.0,-81.0,90.0,top
L3,2.2u,L_1210_3225Metric,157.0,-64.5,90.0,top
LED1,D1,LED_0805_2012Metric,136.5,-92.5,-90.0,top
LED2,D2,LED_0805_2012Metric,131.0,-92.0,90.0,top
Q1,TIP42C,TO-220-3_Vertical,116.055,-96.0,-90.0,top
Q2,MMBT5551,SOT23-3,121.95,-85.5,0.0,top
Q3,MMBT5551,SOT23-3,173.55,-84.0,180.0,top
Q4,TIP42C,TO-220-3_Vertical,179.0,-95.54,-90.0,top
Q5,2N7002,SOT-23,154.0625,-101.5,180.0,top
R1,1k,R_0805_2012Metric,140.5,-61.4125,90.0,top
R10,150k,R_0805_2012Metric,154.0,-70.825,90.0,top
R11,15k,R_0805_2012Metric,182.5,-63.0,90.0,top
R12,4.7k,R_0805_2012Metric,177.0,-70.4125,-90.0,top
R13,0.3,R_0805_2012Metric,136.0,-83.0,180.0,top
R14,0.3,R_0805_2012Metric,135.9125,-87.0,180.0,top
R15,0.3,R_0805_2012Metric,172.0875,-93.0,180.0,top
R16,0.3,R_0805_2012Metric,172.0,-90.0,180.0,top
R17,470,R_0805_2012Metric,168.0,-84.0,0.0,top
R18,470,R_0805_2012Metric,126.5,-88.0,90.0,top
R19,51,R_0805_2012Metric,178.0,-84.0,0.0,top
R2,10k,R_0805_2012Metric,124.0,-62.0,180.0,top
R20,51,R_0805_2012Metric,116.0,-88.0,-90.0,top
R21,5.6k,R_0805_2012Metric,148.9125,-95.5,180.0,top
R22,2k,R_0805_2012Metric,149.0,-101.5875,-90.0,top
R23,10k,R_0805_2012Metric,158.0625,-101.5,-90.0,top
R24,82k,R_0603_1608Metric,126.175,-81.5,0.0,top
R25,82k,R_0603_1608Metric,176.0,-63.0,-90.0,top
R26,470k,R_0805_2012Metric,182.5,-69.9125,90.0,top
R27,0.1,R_1206_3216Metric,150.0,-65.5,180.0,top
R28,56k,R_0603_1608Metric,161.0,-72.5,-90.0,top
R29,220k,R_0603_1608Metric,159.0,-80.675,-90.0,top
R3,10k,R_0805_2012Metric,137.0,-79.0,180.0,top
R4,10k,R_0805_2012Metric,130.5875,-83.0,0.0,top
R5,9.1k,R_0603_1608Metric,130.5,-79.0,0.0,top
R6,1k,R_0805_2012Metric,134.5875,-98.5,0.0,top
R7,1k,R_0805_2012Metric,146.5,-92.5,-90.0,top
R8,0.3,R_0805_2012Metric,142.0,-66.0,180.0,top
R9,510k,R_0603_1608Metric,163.5,-80.5,90.0,top
SW1,SPDT,NEWSWITCH,116.0,-78.0,-90.0,top
U1,CH224K,SSOP-10-1EP_3.9x4.9mm_P1mm_EP2.1x3.3mm,117.0,-67.5,0.0,top
U2,TP4056-42-ESOP8,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,140.8,-99.3,180.0,top
U3,MP3423GG-Z,QFN14_MP3423_MNP-M,151.0,-76.25,0.0,top
U4,RT6150AGQW,SON50P300X300X80-11N,169.0,-64.0,0.0,top
U5,INA219AxD,SOIC-8_3.9x4.9mm_P1.27mm,126.0,-99.5,180.0,top
U6,DRV8833PWP,HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm_ThermalVias,143.25,-86.5,0.0,top
U7,DRV8833PWP,HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm_ThermalVias,164.75,-91.5,180.0,top
